contact_no,time,date,lat_deg,lat_min,lat_hemisphere,lon_deg,lon_min,lon_hemisphere,type,initial_range,est_speed,course,how_contacted,remarks
1,2050,1944-07-09,8,46,S,115,46,E,PC,11520,8,290-350,R,Ran Around
2,0547,1944-07-10,7,00,S,116,23,E,Sail,14000,2,260,SD,Submerged
3,0348,1944-07-11,3,23,S,118,45,E,Sail,6750,1,135,SN,Avoided
4,0532,1944-07-11,3,03,S,118,43,E,Sail,6000,0,,SN,Ignored
5,0539,1944-07-11,3,03,S,118,43,E,Sail,3250,0,,SN,Ignored
6,0541,1944-07-11,3,03,S,118,43,E,Sail,6850,0,,R,Ignored
7,0543,1944-07-11,3,03,S,118,43,E,Sail,2050,0,,SN & R,Ignored
8,0546,1944-07-11,3,03,S,118,43,E,Sail,8000,0,,SD,Ignored
9,0845,1944-07-11,2,20,S,118,27,E,Sail,12000,1,270,SD,Avoided
10,1053,1944-07-11,2,13,S,118,25,E,Sail,12000,1,270,SD,Avoided
11,1609,1944-07-11,1,16,S,117,54,E,Sail,10000,2,270,P,Avoided
12,1814,1944-07-11,0,58,S,117,50,E,Sail,14000,1,270,SD,Avoided
13,1941,1944-07-13,4,41.5,N,119,43.5,E,Sail,2500,,,R,Ignored
14,2056,1944-07-13,5,01.5,N,119,34.7,E,Sail,3950,,,R,Ignored
15,2124,1944-07-13,5,08.0,N,119,32.5,E,Sail,1100,,,R,Ignored
16,0510,1944-07-16,12,53.1,N,119,43.0,E,3 AKs,11000,8,210,SN,Attack #1
17,2307,1944-07-16,11,10.4,N,118,21.9,E,3 AKs,10000,8,210,R,Attack #2
18,2154,1944-07-17,12,23.7,N,116,31.8,E,2 Heavies 5 Escorts,23900,19,270,R,Attack #3
19,0258,1944-07-20,14,22.1,N,119,26.7,E,4 Large 5 or More Escorts,21000,9,200,R,Attack #4
20,1353,1944-07-22,6,40.0,N,119,38.8,E,Sail,18000,0,,P,Avoided
21,1358,1944-07-25,1,41.0,S,126,32.3,E,3 AKs 1 TB 2 SCs,20000,8,345,P,Attack #5
22,1943,1944-07-25,1,41.5,S,126,01.7,E,Same as #21,16350,8,280,R,Attack #5
23,2155,1944-07-27,7,41,S,127,10,E,Sail,3100,4,140,SN,Avoided
24,0141,1944-08-03,1,44.8,S,126,25.7,E,1 AK 1 SC,13000,7,270,SN,Attack #6
25,1247,1944-08-03,2,45.0,S,126,36.7,E,2 Unk.,16000,9,240,P,Chased Without Success
26,1128,1944-08-05,2,50.3,S,122,52.9,E,2 Sail,16000,,,SD,Avoided
27,1154,1944-08-05,2,53.0,S,122,48.0,E,1 Sail,16000,,,SD,Avoided
28,1424,1944-08-06,2,51.5,S,122,24.5,E,Trawler,10000,7,030,P,Chased Without Success
29,2044,1944-08-07,2,48.4,S,122,55.1,E,Trawler?,8400,6,270,R,Tracked & Let Go
30,0538,1944-08-08,2,38.7,S,123,08.8,E,Sail,12000,,,SD,Avoided
31,1850,1944-08-09,5,11.2,S,123,19.0,E,Patrol Boat,7500,6,310,R,Avoided
32,1939,1944-08-09,5,15.1,S,123,10.5,E,Patrol Boat,6650,6,300,R,Avoided
33,2016,1944-08-09,5,26.3,S,123,12.1,E,Patrol Boat,5600,,,R,Avoided
34,0930,1944-08-10,5,25.0,S,121,07.9,E,AK,20000,7.5,072,SD,Attack #7
35,2215,1944-08-10,5,43.0,S,120,47.8,E,AO,10000,9,265,R,Attack #8
36,0254,1944-08-11,5,50.6,S,120,45.3,E,Sail,4050,2,350,R,Avoided
37,0738,1944-08-11,6,35.5,S,120,36.0,E,Sail,,,,P,Avoided
38,0956,1944-08-11,6,36.0,S,120,36.0,E,2 Sailboats,3500,,,P,Avoided
39,2246,1944-08-11,5,38.7,S,121,06.0,E,Sail,4900,,,R,Ignored
40,0915,1944-08-13,6,20.8,S,124,24.9,E,Periscope?,1000,,,SD,Evaded
41,1341,1944-08-13,5,42.6,S,124,51.8,E,Landing Barge,2000,13,055,SD,Gun Attack #1
42,2143,1944-08-13,4,34.3,S,125,47.1,E,Landing Barge,22000,13,065,R,Attack #9
43,1936,1944-08-14,3,35.0,S,125,43.1,E,Patrol,6250,5,210,R,Avoided
44,1525,1944-08-17,6,40.0,S,122,55.0,E,Sail,18000,,,SD,Avoided
45,2035,1944-08-17,6,25.0,S,121,57.5,E,Sail,6600,3,350,R,Avoided
46,0702,1944-08-18,5,28.2,S,121,07.9,E,Sail,10000,3,235,P,Avoided
47,1443,1944-08-18,5,16.0,S,121,05.0,E,Sail,20000,,,SD,Avoided
48,1631,1944-08-18,5,25.4,S,121,02.6,E,Smoking Unident.,20000,8,050,SD,Attack #10
49,1656,1944-08-18,5,13.0,S,121,03.0,E,Sail Same as #46,14000,0,,SD,Avoided
50,0316,1944-08-19,6,17.3,S,121,57.3,E,Sail,2250,,,R,Avoided
51,0525,1944-08-19,6,29.0,S,122,27.0,E,Sail,1300,,,SD,Avoided
52,0934,1944-08-19,6,51.7,S,123,16.2,E,Sail,16000,,,SD,Avoided
53,0244,1944-08-20,9,04.9,S,123,12.2,E,Sail,9000,,,R,Avoided
54,0412,1944-08-20,9,04.9,S,123,12.2,E,Sail,1650,,,R,Avoided
55,0423,1944-08-20,9,05.0,S,123,11.5,E,Sail,1650,,,R,Avoided







